title,author_name,rating,ratings,year
Mr. Perfect,Linda Howard,4.06,34063,2000
The Rose & the Dagger,Renée Ahdieh,4.06,85841,2016
Uprooted,Naomi Novik,4.05,209681,2015
All Together Dead,Charlaine Harris,4.05,195863,2007
Magic Bites,Ilona Andrews,4.05,117960,2007
The Darkest Night,Gena Showalter,4.05,82413,2008
Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley,4.05,77679,1978
"Heaven, Texas",Susan Elizabeth Phillips,4.05,33014,1995
Always Only You,Chloe Liese,4.05,24067,2020
Tell Me Three Things,Julie Buxbaum,4.05,70824,2016
The Madness of Lord Ian Mackenzie,Jennifer Ashley,4.05,35753,2009
The Raven Boys,Maggie Stiefvater,4.05,332644,2012
Just Listen,Sarah Dessen,4.05,243619,2006
P.S. I Like You,Kasie West,4.05,54335,2016
Hero,Samantha Young,4.05,32391,2015
Starcrossed,Josephine Angelini,4.05,71063,2011
P.S. I Still Love You,Jenny Han,4.05,321648,2015
Garden Spells,Sarah Addison Allen,4.05,94698,2007
Sweet Temptation,Cora Reilly,4.05,47534,2020
Transcendence,Shay Savage,4.05,20945,2014
Love Only Once,Johanna Lindsey,4.05,19449,1985
The Gentleman's Guide to Vice and Virtue,Mackenzi Lee,4.05,124688,2017
Again the Magic,Lisa Kleypas,4.05,38636,2004
The Mistake,Elle Kennedy,4.05,225576,2015
Pushing the Limits,Katie McGarry,4.05,121285,2012
Magic Study,Maria V. Snyder,4.04,76628,2006
Just Last Night,Mhairi McFarlane,4.04,31666,2021
About That Night,Julie James,4.04,24376,2012
On the Edge,Ilona Andrews,4.04,42672,2009
Pleasure Unbound,Larissa Ione,4.04,53139,2008
The Soulmate Equation,Christina Lauren,4.04,136796,2021
Dear John,Nicholas Sparks,4.04,577789,2006
The Flatshare,Beth O'Leary,4.04,276885,2019
A Prince on Paper,Alyssa Cole,4.04,5598,2019
How to Marry a Marquis,Julia Quinn,4.04,20497,1999
Good Boy,Sarina Bowen,4.04,20456,2017
Daring to Dream,Nora Roberts,4.04,25394,1996
Bittersweet,Sarina Bowen,4.04,19508,2016
Emma,Jane Austen,4.04,784651,1815
The Lady's Guide to Celestial Mechanics,Olivia Waite,4.04,9945,2019
Any Duchess Will Do,Tessa Dare,4.04,23816,2013
Along for the Ride,Sarah Dessen,4.04,200653,2009
Pandemonium,Lauren Oliver,4.04,231558,2012
A Promise of Fire,Amanda Bouchet,4.04,32350,2016
One for the Money,Janet Evanovich,4.04,520424,1994
Serpent & Dove,Shelby Mahurin,4.03,220662,2019
Scandal in Spring,Lisa Kleypas,4.03,48206,2006
Secrets of a Summer Night,Lisa Kleypas,4.03,67926,2004
P.S. I Love You,Cecelia Ahern,4.03,365580,2004
Red Queen,Victoria Aveyard,4.03,833765,2015
A Marvellous Light,Freya Marske,4.03,16806,2021
Deep,Kylie Scott,4.03,38619,2015
On the Fence,Kasie West,4.03,57713,2014
The Unbecoming of Mara Dyer,Michelle Hodkin,4.03,168341,2011
Norwegian Wood,Haruki Murakami,4.03,490161,1987
A Rogue of One's Own,Evie Dunmore,4.03,30188,2020
